,text,label
0,"[""Fears for T N pension after talks Unions representing workers at Turner   Newall say they are 'disappointed' after tlks with stricken arent firm Federal Mogul.""]",2
1,"['Te Race is On: Second Private Team Sets Launch Dat for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\\team of rocketeers competing for he  #36;10 million Ansari X Prize, a contest for\\privately funded suborbital space flight, has officially annonced the first\\launch dae for its manned rocket.']",3
2,"['Ky. Company ins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to evelop a method of producing better peptides, which are short chains of amino aids, he building blocks of proteins.']",3
3,"[""Prediction Unit Helps Forecast Wildfires (AP) AP - It' barely dawn when Mike Fitzpatrick starts his shift with a blur of coloful maps, figures and endless charts, but already he knows what te dy will bring. Lightning will strike in places he expects. Wnds will pick up, moist places will dry and flames will roar.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions of te bovine variety Friday, adopting the nation's first rles to reduce air pollution from dairy ow manure.""]",3
5,"['Open Letter Against British Copyrigt Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campign, with the ostensible intention of educating the next generation o British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that hilden in our schools will now e indoctrinated about the illegality of downloadng musc.The ignorance and audacity of this got to me a little, o I wrote an open letter to he DfES about it. Unfortunately, it\'s pedantic, as I supose you have to be when writing to goverment representtives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when te same thing has happened in your area.']",3
6,"['Loosing the War on Terrorism \\\\""Sven Jaschan, self-confessed author of he Netsky and Sasser vruses, is\\responsible for 70 percen of virus infections in 2004, according to a six-month\\virus roundup published Wdnesday by antivirus company Sophos.""\\\\""The 18-year-old Jaschan was taken into custody in Germany in May by olice who\\said he had admitted programming both he Netsky and Sasser worms, something\\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\\teenager\'s arrest.) During the five months preceding Jaschan\'s captre, there\\were t least 25 varants of Netsy and one of he port-scanning network worm\\Sasser.""\\\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\\\']",3
7,"['FOAFey: FOAF, PGP, Key Distrition, and Bloom Filters \\\\FOAF/LOAF  and bloom filters have a lot of ineresting properties for social\\network and whitelist distribution.\\\\I think we can g one level higher though and include GPG/OpenPGP key\\fingerpring distribtion in the FOAF file for simple web-of-trust based key\\distribution.\\\\What if e used FOAF and included the PGP key fingerprint(s) for identities?\\This could mean a lot.  u include the PGP key fingerprints within the FOAF\\file of your direct friends and then include a bloom filter of the PGP key\\fingerprints of your entire whitelist (the source FOAF file would of course need\\to be encrypted ).\\\\You whitelist wold be populated from the social network a your client\\discovered new identit ...\\\\']",3
8,"['E-mail cam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.']",3
9,"[""Card fraud unit nets 3,000 cards In its first two yars, the UK's dedicated card fraud unit, has recovere 36,000 stolen cards and 171 arrests - and estimates it saved 65m.""]",3
