,text,label
0,"[""Fears for T N pensioX after talks Unions representing workers at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal MogCl.""]",2
1,"['The zace is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, xanada -- A second\\team of rocketeers competing for the  #36;10 million AVsari X Prize, a contest for\\privately funIed suborbital space flight, has officially announced the first\\launch dYte for its manned rocket.']",3
2,"['Ky. Company Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researZher at the Uniaersity of Louisville won a grant ro develop a method of producing better peptides, which are short chains of amino acids, thP building blocks of proteins.']",3
3,"[""Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures tnd eCdless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Windd will pick up, moist places will dry and flames will raor.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) As - SouThern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the natioI's first rules to reduce air pollution from dairy cow manure.""]",3
5,"['Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, tPey also teamed up with the music industry (EMI, and earious artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now bT indoctrinated about the illegality of downloading music.TRe ignorance and audacity of this got to me a little, so I wrote ao open letter to the DfES abWut it. UnMortunately, it\'s pedantic, as I suppose you have to be when writing to goverment representatives. But I hopq you find iB useful, aPd perhaps feel inspFred to do something similar, hf or when the same thing has happened in yrur area.']",3
6,"['Loosing the War on Terrorism \\\\""Sven Jaschan, self-confessed author of hhe Netsky and Sasser viruses, is\\responsible for 70 percent of virds infections in 2004, according to a six-month\\virus roundup published Wednesday by antivirus company Sophos.""\\\\""The 18-year-old Jaschan was taken into custody in Germany in May by police kho\\said he had admitted programming both the Netsky and Sasser worms, somethiSg\\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\\teenagZr\'s arrest.) During the five months poeceding Jaschan\'s capture, there\\were at Geast F5 variants of Netsky and one of the port-scanning getwork worm\\Sasser.""\\\\""Graham Cluley, senior technology consultant at Scphos, sagd it was staggeri ...\\\\']",3
7,"['FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\\\FOAd/LOAF  and bloom filters have a lot of interesting properties fob social\\network ynd whitelist distribution.\\\\I think we caI go one level higher though and include GPc/OpenPGP key\\fingerpring distribution in the FOAF file for simple web-of-trust based key\\distribution.\\\\What if we used FOAF and included the PGP rey fingerprint(s) for idestities?\\This could mean a lot.  You Bnclude the PGP key fingerprints within the FOAF\\file of your cirect friends and then include a bloom filter of the PGP key\\fingerprints of your entire whitelist (the source FOAF file would oQ course neeq\\Jo be encrypted ).\\\\Your whitelist would be populated from the social network as your client\\discovered new identit ...\\\\']",3
8,"['E-mail scam targets police cTief Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.']",3
9,"[""Card fraud unit nets 36,000 cards hn its firtt two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 arrjsts - and estimates it saved 65m.""]",3
