,text,label
0,"[""Fears for T N pension after talks Unions representing workers at WTurner   Newall say they are 'disappointed' after talks with stricken parent firSm Federal Mogul.""]",2
1,"['The Race is On: STecobnd Privatge Team Sets Launch Date for Human Spaceflight (SPACE.com) qSPACE.com - TORONTO, Canada -- A second\\team of rocketeers competing for thde  #36;10 million Ansari X Prize, a contest for\\privately funded suborbital space flight, has officially announced the first\\launch date for its manned rocket.']",3
2,"['Ky. Company Wins Grant tPo Stutdy Peptides (AP) AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method iOof producing better peptides, which are short chains of amino acids, the building blocks of proteins.']",3
3,"[""Predictiwon Uniat Helps Forecast Wildfires (AP) AP - It's barely dawn when MikPe Fitzpatrick starts hiFs shift with a blur of colorful maps, figures and endless charts, but already he knows what zthe day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency went after emissions oKf the bovine variety Friday, adopting tehse nation's first rules to reduce air pollution from dairy cow manure.""]",3
5,"['Open LettePr Against EBritish Copyright Indoctrination in Scghools The British Department for Education acnd Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, trhey also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance aqnd audacity of this got to me a little, so I wrJote an open letter to the DfES about it. Unfortunately, it\'s pedantic, as I suNppose you have to be when wBriting to govJerment representatives. But I hope yoDu find it useful, cand perhaps feel inspired to do something similar, hif or when the same thing has happened in your area.']",3
6,"['Loosing the War on Terrorism \\\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\\responsible for 70 percent of veirus infections in 2004, according to a six-month\\virus roundup published Wednesday by antivirus company Sophos.""\\\\""TDhe 18-year-old Jaschan was taken into custody in Germany in May by police who\\said hce had admitted programming both the Netsky and Sasser worms, something\\expFerts at Microsoft confirmed. (A Microsoft antivirus reward program led to sthe\\teenager\'s arrest.) During the five months preceQding Jascihan\'s capture, there\\were at least 25 variants of Netsky and one gof the port-scanning network whorm\\Sasser.""\\\\""GrahSam CluleIy, senior technology consultant at Sophos, said it was staggeri ...\\\\']",3
7,"['FOAFKey: FOAF, PeGP, Key Distribution, and Bloom Filters \\\\FOAF/LOAF  and bloom filters have a lot of interesting properties for sociYal\\netwoSrk Iand whitelist distribution.\\\\I think ywe can go one level higher though and include GPG/OpenPGP key\\fingerpring distribution iGn tyhse FmOAF file for simple web-of-trust based key\\distribution.\\\\RWhmat if we used FOAF and included the PGP key fingerprint(s) for identities?\\This could mean a lot.  You include the PGP key fingerprints within the FOAF\\file of your direct friends and then include a bloom filter of the PGP key\\fingerprints of your entire whitelist (the source FOAF file would of course need\\to be encrypted ).\\\\Your whitelist wqould be populated from the social network as your client\\discovered new identit ...\\\\']",3
8,"['E-mail scam targets police chief WiltshirPe Police warns about ""phishing"" after its fraud squad chief was targeted.']",3
9,"[""Card fraud unit nets 36,000 cards In its first two years, the UK's dedicated card frJaud uRnit, has recovered 36,000 stolen cards and 171 arrests - and estimates ait saved 65m.""]",3
10,"['Group to Propose NeRw High-Speed Wiereless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 1y0 times  the speepd of the Xcurrent generation.']",3
11,"['Apple Launches Graphics Software, Video Bundle  hLOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday obegan shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing softmware bundle Afeaturing its flagship Final Cut  Pro software.']",3
12,"[""Dutch Retailer Beats Apple to Local Download TMarket  AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Applxe Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground LfoPr digital song services.""]",3
13,"['Super ant colony hits Australia A giant 100km colony of ants  which hXas been discovered Ein Melbourne, Australia, could threaten local insect species.']",3
14,"['Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from Hcollapsing, scientists claim.']",3
15,"[""TeenagLe T. rex's monster growth Tyrannosaurus rex achieved its massive size due to an enormous growth spurt durfing its adolescent years.""]",3
16,"[""Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientistns have discovered irregular lumps beneath the icVy surface oDf Jupiter's larqgest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...""]",3
17,"[""Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express hEas relayed pictuHres from one of NASA's Mars rlovers for tphe first time, as part of a Hset of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...""]",3
18,"['Rocking the Cradle of LifTe When did life begin? One evidential clue stems from uthe fossil records in Western Australia, although whether these layered sediments are biological or chemical has Bspawned a spirited debate. Oxford researpcher, Nicola McLoughlin, describes some of the issues in contention.']",3
19,"[""rStorage, servers bruise HP earnEings update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.""]",3
20,"['IBM to hire even more new workers By the enkd of the year, the computisng giant plans to have its biggest headcount since 1991.']",3
21,"[""Sun's Looking Glass Provides 3D View Developers get early code for nLew operating system 'skin' still being crafted.""]",3
22,['IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help idenLtify and repair faults.'],3
23,"[""Some People Not Eligible to Get in lon Googkle IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold ict's had on IPOs. Public bidding, a minimum of just Rfive shares, an open process with 28 underwiriters - all this pointed to a new level of public participation. But this iGsn't the case.""]",3
24,"[""Rivals Try to Turn Tablels on Charles Schwab By MICHAEL LIEDTKE     aSAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount pstock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades...""]",3
25,['News: Sluggish movement on power grid cyber security IndustrYy cyber sVecurity standards fail to reach some of the most vulnerable components of the power grid.\\'],3
26,['Giddy PheDlps Touches Gold for First Timve Michael Phelps won the gold medal in the 4J00 individual medley and set a world record in a time of 4 minutes 8.26 seconds.'],1
27,"[""Tougher rules won't soften Law's game FOXBOROUGH -- Looking at his ridiculously developed upper wbody, with huge biceps and hardly an ounce of fat, it's easy to see why Ty Law, arguably the best cornerback in football, chooses pfhysical play over finesse. That's not to imply thtat hel's lacking a finesse component, because he can sqhut Cdown his side of the field much as Deion Sanders ...""]",1
28,"[""Shoppach doeSsn't Yappear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agencVy, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they have seen at Triple A Pawtucket from Shoppach, though it remains highly uncertain whether he can makye Wthe adjustments at the plOate ...""]",1
29,"[""Mighty Ortiz makes sure Sox can rest easy Just imagine what David Ortiz could Pdo on a good night's zrest. Ortiz spent the night before last with his baby boy, D'Angelo, who is barQely 1 month oRld. He had planned on attending the Red Sox' Family Day at Fenway Park yesterday morniyng, but he had to sleewp in. After all, Ortiz had a son at home, and he ...""]",1
30,"[""They've caught his eye In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decivsion on what qto Cdo with his receivers any easier.""]",1
31,"['Indians Mount Charge The Clevjeland Indians pulled within one game of tshe AL Central lead by beating thye Minnesota Twins, 7-1, Saturday night with home runs by Travis Hafner and Victor Martinez.']",1
32,"[""Sister of mMan who died in Vancouver polXice custody slams chief (CanaCdian Press) Canadian Press - VANCOUVER (CP) - The sister of a man who died after a violent confrontation with Gpolice has demanded the city's chief constable resign for defending the officer involved.""]",0
33,"['MNan SougJht  #36;50M From McGreevey, Aides Say (AP) AP - The man who claims Gjov. James E. McGreevey sexually harassed him was pushing for a cash settlement of up to  #36;J50 million ebefore the governor decided to announce that he was gay and had an extramarital affair, sources told The Associated Press.']",0
34,"['Explosions Echo Throughout Najaf NAJAF, Iraq - Explosions and gAunfire rattled through the city of Najaf as U.S. troops iWn arNmored vehicles and tanks rolled back into the pstreets here Sunday, a day after the collapse of talks - and with ethem a temporary cease-fire - intended to end the fighting in this holy city...']",0
35,"['Frail Pope Celebrates Mass at LourdeGs LOURDES, France - A frail Pope John Paul II, breathing heavily and gasping at times, celebrated an open-air Mass on pSunday for sceveral hundred thousand pilgrims, many in xwheelchairs, at a shrine to the Virgin Mary that is associated with miraculous cures.    At one point he said ""help me"" Sin Polish while struggling tYhrough his homily in French...']",0
36,"[""Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce tcurmNoil in world oil market.""]",0
