,text,label
0,"[""Fears for T north pension after talks Unions representing workers at Turner   Newall say they personify 'disappointed' after talks with stricken parent firm Federal Mogul.""]",2
1,"['The slipstream is On: irregular Private Team sic Launch Date for homo Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A instant\\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\\privately funded suborbital space flight, has officially announced the first\\launch date for its manned rocket.']",3
2,"['Ky. Company Wins Grant to Study Peptides (AP) AP - A company launch by a chemistry researcher at the University of Louisville won a grant to develop a method of producing comfortably peptides, which are light chains of amino acids, the building stuff of proteins.']",3
3,"[""Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his fault with a blur of colorful maps, flesh and endless charts, but already he bed what the day will bring. Lightning will strike in places he expect. Winds will pick up, moist places will dry and flames will bellow.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting agency start after emissions of the bovine variety Friday, adopting the nation's get-go convention to reduce air pollution from dairy cow manure.""]",3
5,"['Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched angstrom ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to devote this popular. EMI has ostensibly negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this forefather to me a little, so I wrote an open letter to the DfES roughly it. Unfortunately, it\'s pedantic, as I suppose you have to personify when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to throw something similar, if or when the same thing has fall in your area.']",3
6,"['unloose the War on Terrorism \\\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\\responsible for 70 percent of virus infections in 2004, according to a six-month\\virus roundup published Wednesday by antivirus company Sophos.""\\\\""The 18-year-old Jaschan was hire into custody inwards FRG in May by police who\\said he let admitted programing both the Netsky and Sasser worms, something\\experts at Microsoft confirmed. (A Microsoft antivirus reward programme led to the\\teenager\'s arrest.) During the Phoebe months preceding Jaschan\'s capture, there\\exist at least 25 strain of Netsky and one of the port-scanning network worm\\Sasser.""\\\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\\\']",3
7,"['FOAFKey: FOAF, PGP, Key Distribution, and Bloom strain \\\\FOAF/LOAF  and bloom filters contain a lot of interesting properties for social\\network and whitelist distribution.\\\\I think we potty go unrivalled level gamy though and include GPG/OpenPGP key\\fingerpring distribution in the FOAF file for simple web-of-trust based primal\\distribution.\\\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\\This could mean a sight.  You include the PGP key fingerprints within the FOAF\\file of your result friends and then include axerophthol bloom filter of the PGP key\\fingerprints of your entire whitelist (the source FOAF file would of course need\\to be encrypted ).\\\\Your whitelist would be populated from the social network as your client\\learn new identit ...\\\\']",3
8,"['E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its imposter squad chief was targeted.']",3
9,"[""Card pretender unit nets 36,000 cards IN its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen cards and 171 nail - and estimates it saved 65m.""]",3
10,"['Group to purport freshly High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, along Thursday aforesaid they  will propose a new radiocommunication networking standard up to 10 times  the speed of the current generation.']",3
11,"['Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time question graphics and unveiled a discount  video-editing software megabucks boast its flagship Final ignore  Pro software.']",3
12,"[""Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Free read Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a untested download service in Europe's latest  battleground for digital song services.""]",3
13,"['Super ant colony bang Australia a giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.']",3
14,"['Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to donjon them from collapsing, scientists claim.']",3
15,"[""Teenage liothyronine. rex's monster growth Tyrannosaurus rex achieved its massive sizing due to an enormous growth spurt during its adolescent years.""]",3
16,"[""Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion lab -- Scientists have key irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, abide by Ganymede's icy shell for billions of year...""]",3
17,"[""Mars Rovers Relay icon Through Mars Express European Space Agency -- ESAs Mars Express has relayed render from nonpareil of NASA's vitiate rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on spliff interplanetary networking capabilities...""]",3
18,"['Rocking the Cradle of Life When make life begin? unrivaled evidential clue stems from the fossil disc in Western Australia, although whether these layered sediments are biological or chemical has spawned a gritty debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.']",3
19,"[""Storage, servers bruise HP earnings update Earnings per deal rise compared with a year ago, but company misses analysts' expectations by a long spud.""]",3
20,"['IBM to hire even more new workers By the end of the year, the computing giant plans to possess its bounteous headcount since 1991.']",3
21,"[""Sun's Looking deoxyephedrine Provides 3D View Developers get early code for new operating system 'skin' still being crafted.""]",3
22,['IBM Chips May Someday Heal Themselves New technology applies electrical fuses to help identify and haunt faults.'],3
23,"[""Some People Not Eligible to Get in on Google IPO Google bear billed its IPO as a room for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of barely five deal, an open process with 28 underwriters - all this pointed to a new level of public engagement. But this isn't the pillowcase.""]",3
24,"[""Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount tired broker Charles Schwab Corp. (SCH) represent an annoying stone IN Wall Street's wing-tipped shoes for decades...""]",3
25,['News: Sluggish movement on power grid cyber security Industry cyber security standards fail to reach approximately of the most vulnerable component of the power grid.\\'],3
26,['Giddy Phelps speck Gold for First Time Michael Phelps won the gold medal in the 400 individual medley and set a Earth show in a time of 4 minutes 8.26 seconds.'],1
27,"[""Tougher rules won't soften Law's punt FOXBOROUGH -- expect at his laughably developed upper body, with huge biceps and hardly an ounce of fatten, it's easy to see why Ty Law, arguably the best cornerback in football, chooses physical wreak over finesse. That's not to imply that he's lacking a finesse component, because he can shut pile his side of the field much as Deion Sanders ...""]",1
28,"[""Shoppach doesn't appear ready to hit the next level With the weeks dwindling until Jason Varitek enters free agency, the Red Sox continue to carefully monitor Kelly Shoppach , their catcher of the future, in his climb toward the majors. The Sox like most of what they experience construe at trio A Pawtucket from Shoppach, though it remains highly uncertain whether he bum shuffling the adjustments at the plate ...""]",1
29,"[""Mighty Ortiz wee sure Sox can rest easy Just imagine what David Ortiz could perform on axerophthol well night's rest. Ortiz spent the night before last with his baby boy, D'Angelo, who cost barely 1 month old. He had planned on attending the bolshie Sox' Family Day at Fenway Park yesterday morning, but he had to sleep in. After all, Ortiz had a son at home, and he ...""]",1
30,"[""They've watch his optic In  quot;helping themselves, quot; Ricky Bryant, Chas Gessner, Michael Jennings, and David Patten did nothing Friday night to make Bill Belichick's decision along what to do with his receivers any easier.""]",1
31,"['Indians Mount Charge The Cleveland Indians pulled within one game of the AL Central lead by flap the Minnesota similitude, 7-1, Saturday night with home melt by Travis Hafner and Victor Martinez.']",1
32,"[""babe of man who died IN Vancouver police custody slams chief (Canadian Press) Canadian Press - VANCOUVER (CP) - The sister of a man WHO died after a violent confrontation with police has demanded the city's chief constable resign for defending the officer need.""]",0
33,"['Man Sought  #36;50M From McGreevey, Aides enunciate (AP) AP - The man who claims Gov. James E. McGreevey sexually harassed him equal pushing for a cash settlement of up to  #xxxvi;50 million before the governor decided to foretell that he was gay and had an extramarital affair, sources severalize The Associated Press.']",0
34,"['Explosions recall Throughout Najaf NAJAF, Irak - Explosions and gunfire rattled through the city of Najaf as U.S. troops in armored vehicles and tanks rolled back into the streets here Sunday, a day after the collapse of talks - and with them a temporary cease-fire - intended to end the defend IN this holy city...']",0
35,"['Frail Pope Celebrates spate at Lourdes LOURDES, France - A frail Pope John Paul II, rest heavily and gasping at times, famous an open-air Mass on Dominicus for several hundred thousand pilgrims, many in wheelchairs, at a shrine to the virgin Mary that is associated with miraculous cures.    At one level he said ""help me"" in Polish while struggling through his homily in French...']",0
36,"[""Venezuela Prepares for Chavez retrieve Vote Supporters and rivals warn of possible sham; government says Chavez's defeat could produce turmoil in world oil market.""]",0
37,['1994 Law Designed to preserve Guard Jobs (AP) AP - A 1994 law strengthened job protections for interior Guard and Reserve troops called to active duty. Here are major commissariat of the Uniformed Services Employment and Reemployment Rights Act (USERRA).'],0
38,"['Iran Warns Its Missiles Can Hit Anywhere in Israel  TEHRAN (Reuters) - A senior Iranian military official suppose  Sunday Israel and the United States would not dare attack Iran  since it could expunge back anywhere indium Israel with its modish  missiles, news agencies reported.']",0
39,"[""Afghan Army Dispatched to Calm Violence KABUL, Afghanistan - Government troops intervened in Afghanistan's latest outbreak of deadly fighting between warlords, fell from the capital to the far west on U.second. and NATO airplanes to retake an melody free-base contested in the violence, officials said Sunday...""]",0
40,"['Johnson Helps D-Backs stop Nine-Game slide (AP) AP - Randy Johnson aim a four-hitter into the ninth inning to help the Arizona Diamondbacks end a nine-game losing streak Sunday, beating Steve Trachsel and the New York Mets 2-0.']",1
41,"['Retailers Vie for Back-To-School Buyers (Reuters) Reuters - Apparel retailers are hoping their\\back-to-school fashions volition make the order among\\style-conscious teens and young adults this return, but it could\\be a yobo sell, with students and parents keeping a tighter\\hold on their wallets.']",2
42,"[""Politics an Afterthought Amid Hurricane (AP) AP - If Hurricane Charley had struck three years ago, President Bush's tour through the wreckage of this coastal city would consume been just the sort of post-disaster visit that other presidents have work to the scenes of storms, earthquakes, floods and buttocks.""]",0
43,"[""Spam suspension smasher Sohu.com shares (FT.com) FT.com - Shares in Sohu.com, ampere leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of node live sent spam.""]",3
44,"[""Erstad's three-fold Lifts Angels to Win (AP) AP - Darin Erstad doubled in the go-ahead run inwards the eighth inning, uprise the Anaheim Angels to a 3-2 victory over the Detroit Tigers on Sunday. The win pulled Anaheim within a percentage conduct of Boston and Texas in the AL wild-card race.""]",1
45,"[""Drew Out of Braves' Lineup After wound (AP) AP - Outfielder J.D. describe missed the Atlanta Braves' game against the St. Louis Cardinals on Sunday night with angstrom sore right quadriceps.""]",1
46,"['Venezuelans Flood Polls, Voting transcend  CARACAS, Venezuela (Reuters) - Venezuelans voted in huge  amount on Sunday in a historic referendum on whether to recall  left-wing President Hugo Chavez and electoral authorities  prolonged voting well into the night.']",0
47,"[""Dell Exits Low-End China Consumer PC Market  HONG KONG (Reuters) - Dell Inc. &lt;DELL.O&gt;, the world's  largest PC shaper, said on Monday it has left the low-end  consumer PC marketplace in China and cut its overall growth direct  for the country this year due to cockeyed competition in the  segment.""]",3
48,"['China articulate Taiwan Spy Also manoeuvre in U.S. - Media  BEIJING (Reuters) - Beijing on Monday accused a  Chinese-American arrested for spying for Taiwan of building an  espionage web in the United States, and said he could last on  trial very soon.']",0
49,"['Another Major Non-Factor Another major, another disappointment for Tiger Woods, the No. 1 ranked player in the humankind who experience not won a major championship since his triumph At the 2002 U.S. Open.']",1
50,"['US champion squadron to follow deployed in Dixie Korea next month (AFP) AFP - A squadron of US Air Force F-15E fighters based in Alaska will fly to South Korea next month for temporary deployment get at enhancing US firepower on the Korean peninsula, US authorities said.']",0
51,"[""Johnson Back to His Best as D-Backs closing Streak  NEW YORK (Reuters) - Randy Johnson struck out 14 batters in  8 1/deuce-ace innings to help the Arizona Diamondbacks end a nine-game  losing run with a 2-0 win o'er the host New York Mets in the  National League Sunday.""]",1
52,"[""restive Maldives eases curfew afterwards rounding up dissenter (AFP) AFP - A curfew in the capital of the Maldives was eased but parliament sessions were put off indefinitely and emergency rule continued following last week's riots, officials and residents said.""]",0
53,['Vodafone hires Citi for Cesky bid (TheDeal.com) TheDeal.com - The U.jet. mobile giant wants to retrieve a way to disentagle the Czech wireless and fixed-line businesses.'],3
54,"[""Dollar Briefly Hits 4-Wk Low Vs Euro  LONDON (Reuters) - The dollar dunk to a four-week low  against the euro on Monday before heighten slightly on  profit-taking, but steep oil prices and weak U.S. data  continued to fan worries about the health of the world's  orotund economy.""]",2
55,"['Promoting a apportion Vision As Michael Kaleko unbroken running into people who were getting older and having more vision problems, he realized he could do something about it.']",3
56,"[""India's Tata expands regional footprint via NatSteel buyout (AFP) AFP - India's Tata Iron and Steel Company Ltd. fill A strategic step to expound IT Asian footprint with the announcement it will buy the Asia-Pacific steel operations of Singapore's NatSteel Ltd.""]",0
57,"[""designate Urge ecclesiastic to Pull Out of Najaf BAGHDAD, Iraq - Delegates at Iraq's National Conference called on radical Shiite cleric Muqtada al-Sadr to abandon his uprising against U.south. and Iraqi troops and pull his fighters KO'd of a holy shrine in Najaf...""]",0
58,"['Treasuries err as Stocks tantalize  NEW YORK (Reuters) - U.S. Treasury debt prices slipped on  Monday, though traders characterized the move as profit-taking  rather than any fundamental change in sentiment.']",2
59,['Dollar jump Vs Euro on Asset Flows Data  NEW YORK (Reuters) - The dollar extended benefit against the  euro on Monday after a report on flux into U.siemens. assets showed  enough of a rise in foreign investments to offset the current  account gap for the month.'],2
60,"[""Sutton Adds Haas, Cink to Ryder Cup Team  MILWAUKEE (mutant Network) - U.S. Ryder Cup captain Hal  Sutton finalized his team on Monday when he announced the  selections of Jay Haas and Stewart Cink arsenic his captain's cull.""]",1
61,"[""Haas and Cink Selected for Ryder cup Team Jay Haas joined Stewart Cink adenine the two captain's picks for a U.S. team that will test to regain the cup from Europe next month.""]",1
62,"['Natalie Coughlin Wins 100M Backstroke (AP) AP - American Natalie Coughlin won Olympic amber in the 100-meter backstroke Mon night. Coughlin, the exclusively woman ever to swim under 1 minute inch the event, finished first in 1 minute, 0.37 seconds. Kirsty Coventry of Zimbabwe, who swims at Auburn University in Alabama, earned the facile in 1:00.50. Laure Manaudou of France need bronze in 1:00.88.']",1
63,"['Oracle Overhauls Sales-Side Apps for CRM Suite (NewsFactor) NewsFactor - Oracle (Nasdaq: ORCL) receive revamped its sales-side CRM applications in variation 11i.10 of its sales, commercialize, partner relationship management and e-commerce application.']",3
64,"['UN launches 210-million-dollar appealingness for flood-hit Bangladesh (AFP) AFP - The United Nations launched an appeal here for 210 gazillion dollars to help flood victims facing ""grave"" food shortages after two-thirds of Bangladesh was inundate, destroying crops and defeat more than 700 people.']",0
65,['Indian state paradiddle prohibited wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.'],3
66,"['Hurricane Survivors Wait for Water, Gas PUNTA GORDA, Fla. - Urban rescue squad, insurance adjusters and National Guard troops dissipate across Florida Monday to help victims of Hurricane Charley and deliver water and former supplies to G of people left homeless...']",0
67,"['Jackson Squares Off With Prosecutor SANTA MARIA, Calif. - lover of Michael Jackson erupted In cheers Monday as the pop star emerged from a double-decker spell bus and went into court for a showdown with the prosecutor who has pursued him for years on nipper molestation charges...']",0
68,['Bobcats barter Drobnjak to Hawks for peck (AP) AP - The Charlotte Bobcats traded center Predrag Drobnjak to the Atlanta Hawks on Monday for angstrom second round pick in the 2005 NBA draft.'],1
69,"['Suspect charged in abduction, sexual Assault of 11-year-old girl (Canadian beseech) Canadian abbreviate - LANGLEY, B.C. (CP) - Police have arrested a man in the kidnapping and sexual assault of an 11-year-old girl that frightened this suburban Vancouver community last week.']",0
70,"[""China's Red Flag Linux to focus on enterprise Red Flag Software Co., the company seat China's leading Linux guest distribution, plans to focus more on its server operating scheme and enterprise customers, the company's acting president said.""]",3
71,"[""AOL attribute Sign Girafa For Thumbnail Search Images AOL Properties Sign Girafa For Thumbnail Search Images\\\\Girafa.com Inc. announced today that the CompuServe, Netscape, aspire and ICQ property of America Online, Inc., have signed an agreement with Girafa to use Girafa's thumbnail search see as an incorporated part of their search results.\\\\Using Girafa's thumbnail search service, search users pot ...""]",3
72,"[""Cassini Spies Two Little Saturn Moons (AP) AP - NASA's Cassini spacecraft has spied two new little moons roughly satellite-rich Saturn, the space agency articulate Monday.""]",3
73,['On front cable of AIDS in Russia An industrial metropolis northwest of Moscow struggles as AIDS hits a broader population.'],0
74,"[""Nobel Laureate Decries base Cell Limits (AP) AP - A Nobel laureate in medicine said Monday the Bush administration's limits along support for embryonic stem cell research effectively suffer stopped the clock on American scientists' efforts to develop treatments for a host of chronic, debilitating diseases.""]",3
75,"[""Jury Can Hear of Kobe Accuser's Sex Life (AP) AP - Prosecutors suffered another setback Monday IN the Kobe Bryant sexual assault example, losing a last-ditch attempt to restrain the NBA star's lawyers from telling jurors well-nigh the alleged victim's sex life.""]",1
76,"['North Korea Talks Still On, China Tells Downer (Reuters) Reuters - China has said no date has been set for\\working-level talks on the North Korean atomic crisis and bankrupt\\no indication that the meeting has been canceled, Australian\\Foreign Minister Alexander Downer order on Tuesday.']",0
77,"[""Griffin to Anchor D-Line The Redskins expect huge things from 300-pound Cornelius Griffin, who was signed to aid the team's weakly unit - the defensive blood.""]",1
78,"['Last American defector in North Korea fit to tell story (AFP) AFP - The last surviving American defector to communist North Korea desire to tell his story to put a human face on the Stalinist state which he believes equal unfairly rail abroad, British film-makers said.']",0
79,['bouncy: Olympics day four Richard Faulds and Stephen Parry are go for gold for Great Britain on day four in Athens.'],0
80,"['Kerry Widens Lead in California, Poll Finds (Reuters) Reuters - Democratic challenger bathroom Kerry\\make a commanding lead over President Bush Indiana California of 54\\percent to 38 percent among likely voters, a poll released on\\Tuesday found.']",0
81,"['Capacity herd at Beach Volleyball Rock the spliff  ATHENS (Reuters) - At the beach volleyball, the 2004  Olympics is a sell-out, foot-stomping success.']",1
82,"[""Dollar Near Recent Lows, Awaits ZEW/CPI  LONDON (Reuters) - The dollar defend stabilise near this week's  four-week low against the euro on Tuesday with investors  awaiting a German investor confidence view and U.S. consumer  inflation numbers to shed lighting on the direction.""]",2
83,"['Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of adenine series of product delays, Intel Corp. bear postponed the launch of a TV display chip it had previously planned to introduce by year death, putting off a encounter with Texas Instruments Inc. in the fast-growing market for high-definition television displays.']",2
84,['Venezuela vote keeps Chavez axerophthol president CARACAS -- Venezuelans voted resoundingly to keep instigant populist Hugo Chavez as their president inward a victory that drew noisy reactions yesterday from both sides in the streets. International observers certified the ensue as clean and accurate.'],0
85,"[""Jailing of HK democrat in China 'politically motivated' (AFP) AFP - Hong Kong democrats accused China of remand one of their members on trumped-up prostitution commission in a entreat to disgrace a political drive Beijing has been feuding with for seven years.""]",0
86,"[""Kmart Swings to Profit inwards 2Q; Stock Surges (AP) AP - Shares of Kmart declare Corp. surged 17 percentage Monday after the discount retailer reported a profit for the endorsement quarter and said chairman and majority owner Edward Lampert is now free to invest the company's  #36;2.half-dozen billion in surplus cash.""]",2
87,"[""Fischer's Fiancee: Marriage Plans Genuine (AP) AP - Former chess champion Bobby Fischer's declaration thathe is lease to a Nipponese woman could win him sympathy among Japanese officials and help him void deportation to the United States, his fiancee and one of his supporters said Tuesday.""]",0
