,text,label
0,"[""Fears for T N pension after talks Unions representing workers at Turner   Newall say thye are 'disappointed' atfer talks with stricken parent firm Federal Mogul.""]",2
1,"['The Race is On: Second Private Taem eSts Launhc Date for Human Spaceflight (SPACE.com) SPACE.com - TORONTO, Canada -- A second\\team of rocketeers competing for the  #36;01 million Ansari X Prize, a contest for\\privately funded suborbital space flight, has officially announced the first\\launch date for its manned rokcet.']",3
2,"['Ky. oCmpany Wins Grant to Study Peptides (AP) AP - A company founded by a chemistry researcher at the University of Loiusville won a grant ot develop a method of producing better peptides, which are short chains of amino acids, the buildnig blocks of proteins.']",3
3,"[""Prediction Unit Helps Forecast Wildfires (AP) AP - It's barely dawn when Mkie Fitzpatrick starts his shift with a blur of colorful amps, figures and endless charts, but already eh knows what the day will bring. Lightning will strike in places he expects. Winds wlil ipck up, moist places will dry and flames will roar.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fightign agency went after emissions of the bovine variety rFiday, daopting the nation's first rules to reduce air pollution from dairy cow manure.""]",3
5,"['Open Letter Against British Copyright Indoctrination in Schools The Britihs Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campagin, wtih the ostensible intention fo educating the next generation of British musicians. Unfortunately, they also teamed pu with the music industry (EMI, and various artists) to make htis popular. EMI has apparently negotiated their end well, so taht children ni our schools will now eb indoctrinated abotu the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it\'s pedantic, as I suppose you have to eb wehn writing to goverment representatives. But I hope you fidn it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.']",3
6,"['Loosing the War on Terrorism \\\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\\responsible for 70 percent fo virus infections in 2004, accordnig ot a six-month\\viurs roundup published Wednesday by antivirus company Sophos.""\\\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\\said he had admitted programming both the Netsky adn Sasser worms, something\\experts at Microsoft oncfirmed. (A Microsoft antivirus reward program eld to the\\teenager\'s arrest.) During the five months preceding Jaschan\'s capture, there\\were at least 25 variants of Netsky and one of the port-scanning network worm\\Sasser.""\\\\""Graham Cluley, senior technology consultnta ta Sophos, said it was staggeri ...\\\\']",3
7,"['FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters \\\\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\\network and whitelist distribution.\\\\I think we can go one level higher though and include GPG/OpenPGP key\\fingerpring distribution ni the FOAF file for simple web-of-trust based key\\distribution.\\\\What if we used FOAF and included the PGP key fingerprint(s) ofr identities?\\This could mean a lot.  You include hte PGP kye fingerprints within the FOAF\\file of your direct friends and then include a bolom filter of teh PGP key\\fingreprints of your entire whitelsit (the sourec FOAF file would of cousre need\\to be encrypted ).\\\\Your whitelist would be populated from the social network as your client\\discovered new identit ...\\\\']",3
8,"['E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its fruad squad chief was targeted.']",3
9,"[""Card fraud unit nets 36,000 cards In its first two years, hte UK's dedicated card fraud unit, has recovered 63,000 stolen carsd and 171 arrests - and estimates it saved 65m.""]",3
10,"['Group to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A group of technology companies  including Texsa Instruments Inc. &lt;TXN.N&tg;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &tl;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the curernt genertaion.']",3
