,text,label
0,"[""Fears for T N pension after talks Unions updating firemen at Turner   Newall say they are 'disappointed' after talks with stricken parent firm Federal Mogul.""]",2
1,"['The Race is On: Second Private Team Sets Catapult Berry for Human Spaceflight (SPACE.com) GAP.com - TORONTO, Canada -- A second\\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\\privately funded suborbital air flight, possesses officially announced the first\\launch date for its manned rocket.']",3
2,"['Ky. Company Wins Grant to Minor Peptides (AP) AP - A company reared by a chemistry researcher at the University of Louisville won a grant to outgrow a method of weaving better peptides, which are short chains of amino acids, the building blocks of proteins.']",3
3,"[""Prediction Assembly Helps Forecast Wildfires (AP) AP - It's barely dawn when Mike Fitzpatrick starts his transposition with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in arrangements he expects. Winds will pick up, moist fields will dry and flames will roar.""]",3
4,"[""Calif. Aims to Limit Farm-Related Smog (AP) AP - Southern California's smog-fighting image went after emissions of the bovine division Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.""]",3
5,"['Open Letter Against British Copyright Indoctrination in Schools The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next rise of British drummers. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to allow this popular. EMI has unavoidably negotiated their end since, so that children in our schools will now be indoctrinated about the illegality of downloading music.The disdain and audacity of this acquired to me a little, so I wrote an wayward letter to the DfES about it. Unfortunately, it\'s irascible, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and roughly decry inspired to do something similar, if or when the same thing has happened in your area.']",3
6,"['Loosing the War on Terrorism \\\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, needs\\responsible for 70 percent of virus infections in 2004, according to a six-month\\virus roundup published Wednesday by antivirus detachment Sophos.""\\\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\\said he had confirmed mambo both the Netsky and Sasser leeches, something\\experts at Microsoft confirmed. (A Microsoft antivirus payment feature leaded to the\\teenager\'s arrest.) During the five months shepherding Jaschan\'s capture, there\\were at least 25 variants of Netsky and one of the port-scanning network leech\\Sasser.""\\\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\\\']",3
7,"['FOAFKey: FOAF, PGP, Skill Distribution, and Bloom Filters \\\\FOAF/CHIP  and bloom filters harbor a upbeat of interesting properties for social\\network and whitelist distribution.\\\\I think we can go one level higher though and include GPG/OpenPGP valve\\fingerpring distribution in the FOAF file for simple web-of-trust based key\\distribution.\\\\What if we used FOAF and housed the PGP key fingerprint(s) for identities?\\This could mean a footage.  You include the PGP key fingerprints within the FOAF\\level of your direct friends and then recruit a bloom filter of the PGP key\\fingerprints of your entire whitelist (the fountain FOAF file would of course need\\to be encrypted ).\\\\Your whitelist would right populated from the social network as your client\\discovered new identit ...\\\\']",3
8,"['E-mail scam targets police chief Wiltshire Police warns about ""phishing"" after its fraud squad director was targeted.']",3
9,"[""Correspondence fraud unit nets 36,000 cards In its first two years, the UK's dedicated card fraud unit, has recovered 36,000 stolen mails and 171 arrests - and estimates it saved 65m.""]",3
10,"['Rank to Propose New High-Speed Wireless Format  LOS ANGELES (Reuters) - A mission of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a fresh wireless networking maxim up to 10 times  the speed of the current generation.']",3
11,"['Apple Launches Graphics Software, Video Bundle  LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and leaked a discount  video-editing software bosom playing its flagship Final Cut  Pro software.']",3
12,"[""Dutch Retailer Beats Apple to Local Download Market  AMSTERDAM (Reuters) - Idle Copy Shop, a Dutch music  retail thread, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download repair in Europe's latest  battleground for digital song services.""]",3
13,"['Super ant colony completes Australia A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local flea species.']",3
14,"['Socialites unite dolphin groups Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists apply.']",3
15,"[""Teenage T. rex's monster growth Tyrannosaurus rex achieved its rife size due to an enormous growth dart during its adolescent years.""]",3
16,"[""Scientists Discover Ganymede has a Lumpy Interior Jet Propulsion Lab -- Scientists harbor discovered irregular lumps beneath the untouched surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock tubes, standed by Ganymede's icy shell for billions of years...""]",3
17,"[""Mars Rovers Relay Images Through Mars Express European Space Agency -- ESAs Mars Express pleases relayed pictures from one of NASA's Mars rovers for the first length, as part of a mount of interplanetary networking demonstrations.     The demonstrations pave the manner for future Mars missions to ladle on joint interplanetary networking capabilities...""]",3
18,"['Rocking the Cradle of Life When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or helium has spawned a grand debate. Oxford researcher, Nicola McLoughlin, recites some of the problems in contention.']",3
19,"[""Storage, servers bruise HP earnings update Earnings per share development compared with a year ago, but companionship misses analysts' expectations by a long shot.""]",3
20,"['IBM to hire purely more new workers By the maximum of the year, the computing giant plans to have its biggest headcount since 1991.']",3
21,"[""Sun's Tending Glass Provides 3D View Developers get early code for new operating system 'skin' still being crafted.""]",3
22,['IBM Breaks May Someday Heal Themselves New technology applies electrical fuses to help identify and repair faults.'],3
23,"[""Some Mens Not Eligible to Get in on Google IPO Google has billed its IPO as a solution for unremarkable people to get in on the machining, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of so five shares, an open process with 28 underwriters - all this directed to a new level of public participation. But this isn't the case.""]",3
24,"[""Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an tempting slime in Wall Street's wing-tipped shoes for decades...""]",3
25,['News: Sluggish diversion on electricity grid cyber security Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\\'],3
26,['Giddy Phelps Touches Gold for First Time Michael Phelps won the v award in the 400 individual medley and shim a world record in a time of 4 minutes 8.26 seconds.'],1
